algorithm,scenario,metric,n,mean,median,std,min,p25,p75,iqr,max,cv_abs,sum
HAPPO,E2,net_exchange_ratio_to_baseline,17,0.9783597732274801,0.9892136910970558,0.09696256896133004,0.7121961445623022,0.9633216436501504,0.9972386102468164,0.03391696659666599,1.149569073277834,0.09910727281995997,16.63211614486716
HAPPO,E2,observation_dim,17,109.17647058823529,89.0,74.69373743336656,54.0,61.0,110.0,49.0,327.0,0.6841560001978618,1856.0
HAPPO,E2,phase_imbalance_ratio_average,17,0.31862465821830005,0.3009395085732572,0.22251422935533263,0.0523360429172702,0.1219825084237181,0.4963393751458036,0.3743568667220855,0.7448189191005742,0.6983584716876524,5.416619189711101
HAPPO,E2,pv_export_daily_average_kwh,17,6303.121012910281,4655.4651542163765,6519.739538008495,257.2361542739336,2570.3996280528627,7827.927980584019,5257.528352531156,26856.389285024325,1.0343668675652156,107153.05721947478
HAPPO,E2,pv_export_total_kwh,17,2300376.5396700483,1699050.8035742184,2379433.275559017,93880.478136891,938088.7642547928,2856867.549247309,1918778.7849925163,9801463.07281367,1.0343668675652153,39106401.17439082
HAPPO,E2,pv_generation_daily_average_kwh,17,7984.47792740731,6675.088427264501,6913.685478549245,733.1778193012495,2999.344794388089,11843.52642859476,8844.18163420667,28769.848278196278,0.8658907371786337,135736.12476592427
HAPPO,E2,pv_generation_total_kwh,17,2914001.756923359,2436129.1472670734,2523207.129442201,267579.35496915184,1094635.8772518863,4322393.666169229,3227757.7889173427,10499795.87786338,0.8658907371786337,49538029.867697105
HAPPO,E2,pv_self_consumption_ratio,17,0.26629838461477745,0.1863122105115828,0.2672965851405636,0.0032849576989885,0.057484053958098,0.3859126546359595,0.3284286006778615,0.8047948270905003,1.003748428768091,4.5270725384512165
HAPPO,E2,action_l2_max,0,,,,,,,,,,
HAPPO,E2,action_l2_mean,0,,,,,,,,,,
HAPPO,E2,action_l2_min,0,,,,,,,,,,
HAPPO,E2,action_l2_total,0,,,,,,,,,,
HAPPO,E2,action_mean_max,0,,,,,,,,,,
HAPPO,E2,action_mean_mean,0,,,,,,,,,,
HAPPO,E2,action_mean_min,0,,,,,,,,,,
HAPPO,E2,action_mean_total,0,,,,,,,,,,
HAPPO,E2,agent_steps,0,,,,,,,,,,
HAPPO,E2,carbon_emissions_max,0,,,,,,,,,,
HAPPO,E2,carbon_emissions_mean,0,,,,,,,,,,
HAPPO,E2,carbon_emissions_min,0,,,,,,,,,,
HAPPO,E2,carbon_emissions_total,0,,,,,,,,,,
HAPPO,E2,electricity_cost_max,0,,,,,,,,,,
HAPPO,E2,electricity_cost_mean,0,,,,,,,,,,
HAPPO,E2,electricity_cost_min,0,,,,,,,,,,
HAPPO,E2,electricity_cost_total,0,,,,,,,,,,
HAPPO,E2,grid_export_max,0,,,,,,,,,,
HAPPO,E2,grid_export_mean,0,,,,,,,,,,
HAPPO,E2,grid_export_min,0,,,,,,,,,,
HAPPO,E2,grid_export_total,0,,,,,,,,,,
HAPPO,E2,grid_import_max,0,,,,,,,,,,
HAPPO,E2,grid_import_mean,0,,,,,,,,,,
HAPPO,E2,grid_import_min,0,,,,,,,,,,
HAPPO,E2,grid_import_total,0,,,,,,,,,,
HAPPO,E2,individual_reward_max,0,,,,,,,,,,
HAPPO,E2,individual_reward_mean,0,,,,,,,,,,
HAPPO,E2,individual_reward_min,0,,,,,,,,,,
HAPPO,E2,individual_reward_total,0,,,,,,,,,,
HAPPO,E2,net_electricity_consumption_max,0,,,,,,,,,,
HAPPO,E2,net_electricity_consumption_mean,0,,,,,,,,,,
HAPPO,E2,net_electricity_consumption_min,0,,,,,,,,,,
HAPPO,E2,net_electricity_consumption_total,0,,,,,,,,,,
HAPPO,E2,observation_l2_max,0,,,,,,,,,,
HAPPO,E2,observation_l2_mean,0,,,,,,,,,,
HAPPO,E2,observation_l2_min,0,,,,,,,,,,
HAPPO,E2,observation_l2_total,0,,,,,,,,,,
HAPPO,E2,observation_mean_max,0,,,,,,,,,,
HAPPO,E2,observation_mean_mean,0,,,,,,,,,,
HAPPO,E2,observation_mean_min,0,,,,,,,,,,
HAPPO,E2,observation_mean_total,0,,,,,,,,,,
HAPPO,E2,team_reward_max,0,,,,,,,,,,
HAPPO,E2,team_reward_mean,0,,,,,,,,,,
HAPPO,E2,team_reward_min,0,,,,,,,,,,
HAPPO,E2,team_reward_total,0,,,,,,,,,,
HAPPO,E3,action_dim,17,12.882352941176471,10.0,10.670533919052367,5.0,6.0,13.0,7.0,44.0,0.8283062859538367,219.0
HAPPO,E3,agent_index,17,8.0,8.0,5.049752469181039,0.0,4.0,12.0,8.0,16.0,0.6312190586476298,136.0
HAPPO,E3,battery_capacity_fade_ratio,17,0.001015138519206853,0.0009559629392288,0.00059082622705802,0.0001266186789589,0.0007807039270292,0.0012171353538346,0.00043643142680539987,0.0023199909997451,0.5820153761081234,0.0172573548265165
