algorithm,scenario,episode,steps,reward_mean_average,reward_sum_total,source
MAAC,E2,13,8760,-0.5338114388599219,-79495.19947501957,Drive results.json episode_summaries
MAAC,E2,14,8760,-0.5118066089008383,-76218.24019751285,Drive results.json episode_summaries
MAAC,E2,15,8760,-0.5274189895895754,-78543.23592967958,Drive results.json episode_summaries
MAAC,E2,16,8760,-0.5334769842866612,-79445.39249996959,Drive results.json episode_summaries
MAAC,E2,17,8760,-0.5120197097123974,-76249.97517037022,Drive results.json episode_summaries
MAAC,E2,18,8760,-0.527354796999978,-78533.67636923672,Drive results.json episode_summaries
MAAC,E2,19,8760,-0.5334546293841695,-79442.06340789053,Drive results.json episode_summaries
MAAC,E2,20,8760,-0.5121021323318762,-76262.249546863,Drive results.json episode_summaries
MAAC,E2,21,8760,-0.5277787039077766,-78596.8045859461,Drive results.json episode_summaries
MAAC,E2,22,8760,-0.5337856024005878,-79491.35190949554,Drive results.json episode_summaries
MAAC,E2,23,8760,-0.5122131670803356,-76278.78484160357,Drive results.json episode_summaries
MAAC,E2,24,8760,-0.5274042979074091,-78541.04804437136,Drive results.json episode_summaries
MAAC,E2,25,8745,-0.5331517178004087,-79261.00012679776,Drive results.json episode_summaries
MAAC,E2,26,8760,-0.5114318994227176,-76162.4384620311,Drive results.json episode_summaries
MAAC,E2,27,8760,-0.5273257372548379,-78529.34879199046,Drive results.json episode_summaries
MAAC,E2,28,8760,-0.5338771653215634,-79504.98745968723,Drive results.json episode_summaries
MAAC,E2,29,8760,-0.5116354590742883,-76192.75256534302,Drive results.json episode_summaries
MAAC,E2,30,8760,-0.5272623130540416,-78519.90366000787,Drive results.json episode_summaries
MAAC,E2,31,8760,-0.533382756356851,-79431.36007666224,Drive results.json episode_summaries
MAAC,E2,32,8760,-0.5117544899413077,-76210.47864205955,Drive results.json episode_summaries
MAAC,E2,33,8760,-0.5275034697398087,-78555.81671365231,Drive results.json episode_summaries
MAAC,E2,34,8760,-0.5336320790765543,-79468.48921608047,Drive results.json episode_summaries
MAAC,E2,35,8760,-0.5118476438365493,-76224.35112013893,Drive results.json episode_summaries
MAAC,E2,36,8760,-0.5278822697578601,-78612.22761234053,Drive results.json episode_summaries
