algorithm,scenario,episodes,kpi,value,gain,improved
MASAC,E3,50,battery_discharge_total,333467.48643100867,,
MASAC,E3,50,battery_equivalent_full_cycles,13.649072881522985,,
MASAC,E3,50,battery_throughput_total,717013.0966121654,,
MASAC,E3,50,carbon_emissions,1.0601897274206082,-0.06018972742060824,False
MASAC,E3,50,carbon_emissions_baseline,9088742.930663891,,
MASAC,E3,50,carbon_emissions_control,9270045.676568365,,
MASAC,E3,50,carbon_emissions_daily_average_baseline,24903.508429721816,,
MASAC,E3,50,carbon_emissions_daily_average_control,25400.284991168028,,
MASAC,E3,50,carbon_emissions_daily_average_delta,496.7765614462115,-496.7765614462115,False
MASAC,E3,50,carbon_emissions_delta,90899.7612329599,-90899.7612329599,False
MASAC,E3,50,community_import_share,0.08410696734872088,,
MASAC,E3,50,community_local_traded_daily_average,2574.6685330692567,,
MASAC,E3,50,community_local_traded_total,939646.7367147341,,
MASAC,E3,50,cost_one_minus_load_factor_average,0.9777831177218483,0.02221688227815166,True
MASAC,E3,50,cost_peak_average,1.0863807148533065,-0.08638071485330645,False
MASAC,E3,50,cost_ramping_average,1.024945867130649,-0.024945867130649058,False
MASAC,E3,50,electricity_cost,1.0055554410308447,-0.00555544103084471,False
MASAC,E3,50,electricity_cost_baseline,7106081.274015802,,
MASAC,E3,50,electricity_cost_control,7145558.689493987,,
MASAC,E3,50,electricity_cost_daily_average_baseline,19470.938529099127,,
MASAC,E3,50,electricity_cost_daily_average_control,19579.10817991274,,
MASAC,E3,50,electricity_cost_daily_average_delta,108.16965081361293,-108.16965081361293,False
MASAC,E3,50,electricity_cost_delta,19792.792564499217,-19792.792564499217,False
MASAC,E3,50,ev_charge_total,11565.11733596772,,
MASAC,E3,50,ev_departure_count,39682.0,,
MASAC,E3,50,ev_departure_met_count,1643.0,,
MASAC,E3,50,ev_departure_soc_deficit_mean,0.5003155133857917,0.4996844866142083,True
MASAC,E3,50,ev_departure_success_rate,0.04140416309661812,,
MASAC,E3,50,ev_departure_within_tolerance_count,516.0,,
MASAC,E3,50,ev_departure_within_tolerance_rate,0.013003376845925105,,
MASAC,E3,50,ev_v2g_export_total,3547.4206320410594,,
MASAC,E3,50,grid_export_baseline,40654393.347537994,,
MASAC,E3,50,grid_export_control,40660493.791114934,,
MASAC,E3,50,grid_export_delta,3058.5795145712286,-3058.5795145712286,False
MASAC,E3,50,grid_export_ratio,1.000150056195029,-0.00015005619502894696,False
MASAC,E3,50,grid_import,1.059114980913243,-0.059114980913242965,False
MASAC,E3,50,grid_import_baseline,11107847.682125092,,
MASAC,E3,50,grid_import_control,11172043.961813642,,
MASAC,E3,50,grid_import_delta,32186.08999340884,-32186.08999340884,False
MASAC,E3,50,net_exchange_baseline,-29546545.665412903,,
MASAC,E3,50,net_exchange_control,-29488449.82930129,,
MASAC,E3,50,net_exchange_delta,29127.510478838543,-29127.510478838543,False
MASAC,E3,50,one_minus_load_factor_average,0.9777831177218483,0.02221688227815166,True
MASAC,E3,50,peak_average,1.0863807148533065,-0.08638071485330645,False
MASAC,E3,50,price_signal_deviation,0.3899742202101317,0.6100257797898683,True
MASAC,E3,50,price_signal_deviation_baseline,0.38457995010225254,,
MASAC,E3,50,price_signal_deviation_delta,0.005394270107879129,-0.005394270107879129,False
MASAC,E3,50,price_signal_deviation_ratio,1.0140263945284846,-0.014026394528484643,False
MASAC,E3,50,pv_export_daily_average,113432.64319114307,,
MASAC,E3,50,pv_export_total,41398188.40463425,,
MASAC,E3,50,pv_generation_daily_average,135736.12476592427,,
MASAC,E3,50,pv_generation_total,49538029.867697105,,
MASAC,E3,50,pv_self_consumption_ratio,0.1643150017229632,,
MASAC,E3,50,ramping_average,1.024945867130649,-0.024945867130649058,False
MASAC,E3,50,zero_net_energy,0.9992077522258009,0.0007922477741990619,True
MASAC,E3,50,flex_composite,1.0297032332352678,-0.0297032332352678,False
MATD3,E1,50,battery_capacity_fade_ratio,6.491037768997175e-07,0.999999350896223,True
MATD3,E1,50,battery_charge_total,2339.0884487526127,,
MATD3,E1,50,battery_discharge_total,6151.162350785767,,
MATD3,E1,50,battery_equivalent_full_cycles,0.16162055127424005,,
MATD3,E1,50,battery_throughput_total,8490.250799538378,,
MATD3,E1,50,carbon_emissions,1.0385496103000702,-0.0385496103000702,False
MATD3,E1,50,carbon_emissions_baseline,10986820.520467822,,
MATD3,E1,50,carbon_emissions_control,11060066.494980272,,
MATD3,E1,50,carbon_emissions_daily_average_baseline,30104.31470387347,,
MATD3,E1,50,carbon_emissions_daily_average_control,30305.01151724244,,
MATD3,E1,50,carbon_emissions_daily_average_delta,200.69681336897017,-200.69681336897017,False
MATD3,E1,50,carbon_emissions_delta,36723.33566290968,-36723.33566290968,False
MATD3,E1,50,community_import_share,0.08711408562366425,,
MATD3,E1,50,community_local_traded_daily_average,3173.3016377023123,,
MATD3,E1,50,community_local_traded_total,1158122.876859773,,
MATD3,E1,50,cost_one_minus_load_factor_average,0.9934690566529493,0.006530943347050733,True
MATD3,E1,50,cost_peak_average,1.0081243650776304,-0.008124365077630369,False
MATD3,E1,50,cost_ramping_average,1.0011755487359968,-0.0011755487359967898,False
MATD3,E1,50,electricity_cost,1.0080607462410982,-0.008060746241098204,False
MATD3,E1,50,electricity_cost_baseline,8183897.547443151,,
MATD3,E1,50,electricity_cost_control,8249865.868836236,,
MATD3,E1,50,electricity_cost_daily_average_baseline,22424.19695611778,,
MATD3,E1,50,electricity_cost_daily_average_control,22604.95271744145,,
