agent,algorithm,battery_throughput_total_kwh,building_id,carbon_emissions_delta_kgco2,electricity_cost_delta_eur,ev_charge_total_kwh,ev_departure_count,ev_departure_success_rate,ev_total,flex_composite_proxy,grid_export_max,grid_import_max,grid_role_control,nombre,objective,pv_self_consumption_ratio,run_id,scenario,tipo_uso
Building_8,MASAC,10145.22794327571,8,2635.8306358039627,-853.7371509218392,1459.7524029016495,3726.0,0.055018786902844875,17,42.90481836175243,0.0,127.72240447998047,net_exporter,PNP- ESCUELA TECNICA SUPERIOR-IQUITOS,OE2_co2,0.007949394723158566,madrl_v3_20260627_164047,E2,Assembly_Military
Building_9,MASAC,3618.1356806811946,9,847.4506514802306,-307.4147976214563,243.96209025382996,1847.0,0.02165674066053059,10,1.1449909638482667,0.0,2.4506425857543945,net_exporter,GOBIERNO REGIONAL DE LORETO - COER,OE2_co2,0.015669694209594364,madrl_v3_20260627_164047,E2,Office_Critical
Building_10,MASAC,52900.80671124626,10,14739.380947611178,3246.141006816877,658.5101829618216,1298.0,0.026194144838212634,6,17.49716886771299,0.0,51.649574279785156,net_exporter,GOBIERNO REGIONAL DE LORETO,OE2_co2,0.15806767664618301,madrl_v3_20260627_164047,E2,Office
Building_11,MASAC,33288.157945284736,11,7957.32841246383,-717.3080218275427,530.0657864511013,983.0,0.061037639877924724,3,24.173279062453886,0.0,71.54803466796875,net_exporter,HOSPITAL REGIONAL DE LORETO,OE2_co2,0.02819748060709634,madrl_v3_20260627_164047,E2,Healthcare_Hospital
Building_12,MASAC,118040.63755845185,12,29201.518189747818,6122.541815543314,502.17156755924225,960.0,0.051041666666666666,3,458.355360491039,316.31036376953125,1057.913330078125,net_exporter,SEGURO SOCIAL DE SALUD - ESSALUD,OE2_co2,0.15761237453909932,madrl_v3_20260627_164047,E2,Healthcare
Building_13,MASAC,5959.6369280498475,13,2088.514806301595,383.82982514235573,470.09384682774544,2018.0,0.04757185332011893,11,23.70255219933814,0.0,70.14910888671875,net_exporter,UNAP-FACULTAD DE CIENCIAS AD..CONTABLES Y ECO,OE2_co2,0.04145228870434014,madrl_v3_20260627_164047,E2,Education
Building_14,MASAC,4333.401933772315,14,1632.6859095960917,-523.6390250804398,628.4507700204849,1192.0,0.015100671140939598,4,16.24155597475063,0.0,47.72704315185547,net_exporter,AUTORIDAD PORTUARIA NACIONAL,OE2_co2,0.0023752276035841216,madrl_v3_20260627_164047,E2,Industrial_Port
Building_15,MASAC,8284.433906815424,15,2265.0876792293348,-148.9510539049079,404.1301949471235,1535.0,0.04820846905537459,8,7.190740607947357,0.0,20.5941162109375,net_exporter,DREL- COLEGIO NACIONAL DE IQUITOS,OE2_co2,0.021894387095428486,madrl_v3_20260627_164047,E2,Education
Building_16,MASAC,46291.33691124432,16,12272.788314087637,1916.1984823801322,566.5349094495177,2133.0,0.053445850914205346,11,45.69658864911557,33.03379821777344,103.13050842285156,net_exporter,SIMA - IQUITOS S.R.LTDA,OE2_co2,0.07454069327829163,madrl_v3_20260627_164047,E2,Industrial
Building_17,MASAC,19710.227000309154,17,5828.101555668545,1177.486600960241,668.2171229198575,2112.0,0.061553030303030304,11,8.36610340863661,0.0,24.344402313232422,net_exporter,ASOCIACION CIVIL SELVA AMAZONICA,OE2_co2,0.24609208732259338,madrl_v3_20260627_164047,E2,Laboratory
Building_1,MASAC,182058.09256648374,1,47559.86011810042,21075.457346742507,526.066355317831,924.0,0.03787878787878788,4,149.13405565679813,0.0,446.8856201171875,net_importer,ELECTRO ORIENTE S.A.,OE3_costo,0.4834531467931319,madrl_v3_20260627_164047,E3,Office
