algorithm,scenario,agent,grid_role_control,action_dim,observation_dim,battery_throughput_total_kwh,ev_charge_total_kwh,ev_departure_success_rate,carbon_emissions_control_kgco2,carbon_emissions_delta_kgco2,electricity_cost_control_eur,electricity_cost_delta_eur,grid_import_control_kwh,grid_export_control_kwh
MASAC,E1,Building_8,net_exporter,19,152,11679.18744115712,1446.981806665659,0.0563607085346215,38383.92424414214,3398.927174072196,-24950.318901129634,-591.3960286215188,50551.15071914531,4947343.228744984
MASAC,E1,Building_9,net_exporter,12,103,3029.5625061163346,238.8181478828192,0.0211153221440173,21782.64402115345,825.9888640280333,4445.755144510879,-272.907915470888,28287.922610402107,1078815.7209056616
MASAC,E1,Building_10,net_exporter,8,75,60599.63553045719,570.2541084438562,0.0200308166409861,418222.3595886231,17547.88177893829,294528.1543582308,3968.21437272575,556762.7438287735,2977379.5908019543
MASAC,E1,Building_11,net_exporter,5,54,30104.144651309238,454.0980418175459,0.0539165818921668,406153.4012265205,7844.66332345485,177856.45016056282,-1367.6378789224543,526002.1947889328,10213589.267353654
MASAC,E1,Building_12,net_exporter,5,54,112152.33184568584,439.07183046638966,0.046875,982722.8745675088,28359.88998311316,636165.8269176586,6015.530325736152,1276162.6500911713,3761996.2142937183
MASAC,E1,Building_13,net_exporter,13,110,6720.020939229929,478.309907823801,0.0495540138751238,20846.530005672947,2318.465235624022,9466.718298382488,344.9226132707463,27615.290705055,643695.5084768385
MASAC,E1,Building_14,net_exporter,6,61,4401.40721801638,522.1940021514893,0.009228187919463,13472.046073913574,1510.478266356267,-36376.9852660121,-609.4339546957053,17504.932097047567,4314284.251653314
MASAC,E1,Building_15,net_exporter,10,89,9369.46676142498,426.902989178896,0.0534201954397394,66867.9538628878,2524.8666467172807,23364.182342039927,-216.84639179430812,87049.81961648818,2385817.393028736
MASAC,E1,Building_16,net_exporter,13,110,35835.71537306661,544.5441738069057,0.050632911392405,250455.7416371405,10051.02904055029,151321.8126490447,1145.3637767563632,325730.0374569297,2358113.1552297994
MASAC,E1,Building_17,net_exporter,13,110,14968.717281222309,524.9144373387098,0.0511363636363636,140244.1392994523,4211.37183825628,91247.1266782944,69.28031840008043,182180.584807992,303899.2243195772
MASAC,E2,Building_1,net_importer,6,61,137610.04855238416,537.5699851512909,0.0346320346320346,2856004.146149099,29797.65992960473,1951874.3073584964,10520.494578099577,3705129.308744848,1794533.855562508
MASAC,E2,Building_2,net_exporter,8,75,3713.623436288006,19.553312346339226,0.007380073800738,19849.066517438278,969.821758703878,-6379.52197290834,-332.5869300335553,25919.301704071,1957893.0543092787
MASAC,E2,Building_3,net_exporter,10,89,51423.36381030083,685.5163616538048,0.0251497005988023,350831.8408179879,12952.477374810667,228825.25950592468,2920.7403495362378,455174.7227557376,1257361.1771970987
MASAC,E2,Building_4,net_importer,8,75,21913.77607081391,157.37138909101486,0.0154277699859747,445869.001723649,5342.221981591836,297455.6339798064,1102.312152176979,589604.5847702362,106969.7450621724
MASAC,E2,Building_5,net_importer,5,54,6614.050495566267,255.11854657530785,0.03485254691689,281936.190518182,1343.7829549493615,191116.0158127281,-498.6445993241796,366687.0497313887,98150.0466800183
MASAC,E2,Building_6,net_importer,34,257,90275.5388211289,1439.8629176616669,0.0216379418794816,2870052.912086308,16354.101186358836,1951580.7769804075,4109.841458600014,3777970.3561116457,1430085.1515160203
MASAC,E2,Building_7,net_exporter,44,327,23825.1113729426,2287.302552215755,0.0607500642178268,58531.13283884153,8644.863608882355,19833.372995221103,1841.158383060323,77099.68563655019,1939532.339787036
