algorithm,scenario,axis,kpi,value,baseline,delta_vs_baseline,improved_vs_baseline,lower_is_better,available,source,run_path
MAAC,E2,OE3,cost_peak_average,1.0402106617728162,1.0,0.0402106617728161,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE3,cost_ramping_average,1.0186301738338828,1.0,0.0186301738338827,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE3,electricity_cost,1.0039868213638965,1.0,0.0039868213638962,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE3,electricity_cost_baseline,6641408.353484642,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE3,electricity_cost_control,6667886.462194674,6641408.353484642,26478.10871003196,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE3,electricity_cost_daily_average_baseline,18197.716689534354,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE3,electricity_cost_daily_average_control,18270.26773520632,18197.716689534354,72.55104567196759,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE3,electricity_cost_daily_average_delta,72.55104567196791,0.0,72.55104567196791,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE3,electricity_cost_delta,13275.329877851962,0.0,13275.329877851962,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE3,price_signal_deviation,,,,,True,False,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E3,OE1,battery_capacity_fade_ratio,4.901524072530628e-05,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,battery_charge_total,329128.66625897866,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,battery_discharge_total,286116.1736024983,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,battery_equivalent_full_cycles,11.711810703218552,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,battery_throughput_total,615244.839861477,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,community_import_share,0.1039488707557312,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,community_local_traded_daily_average,3564.166726559425,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,community_local_traded_total,1300772.34824725,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
MAAC,E3,OE1,ev_charge_total,10967.148514784873,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E3
